comunidad_autonoma,periodo,duracion_media_viaje,gasto_medio_diario,gasto_medio_persona
Canarias,2023-05-01,7.8,168.0,1310.0
Canarias,2023-06-01,7.64,176.0,1348.0
Canarias,2023-07-01,8.88,195.0,1733.0
Canarias,2023-08-01,8.6,187.0,1613.0
Canarias,2023-09-01,7.77,182.0,1410.0
Canarias,2023-10-01,7.84,176.0,1380.0
Canarias,2023-11-01,8.27,176.0,1459.0
Canarias,2023-12-01,9.02,169.0,1525.0
Canarias,2024-01-01,8.55,178.0,1518.0
Canarias,2024-02-01,9.38,165.0,1547.0
Canarias,2024-03-01,8.73,173.0,1506.0
Canarias,2024-04-01,8.05,175.0,1412.0
Canarias,2024-05-01,7.43,189.0,1403.0
Canarias,2024-06-01,7.25,190.0,1376.0
Canarias,2024-07-01,8.08,207.0,1675.0
Canarias,2024-08-01,8.38,200.0,1677.0
Canarias,2024-09-01,7.57,188.0,1423.0
Canarias,2024-10-01,7.71,180.0,1387.0
Canarias,2024-11-01,8.07,189.0,1521.0
Canarias,2024-12-01,8.19,189.0,1547.0
Canarias,2025-01-01,8.81,181.0,1595.0
Cataluña,2015-10-01,6.27,146.0,915.0
Cataluña,2015-11-01,6.73,139.0,936.0
Cataluña,2015-12-01,6.91,141.0,974.0
Cataluña,2016-01-01,6.23,154.0,960.0
Cataluña,2016-02-01,5.42,165.0,894.0
Cataluña,2016-03-01,4.85,178.0,862.0
Cataluña,2016-04-01,4.77,173.0,825.0
Cataluña,2016-05-01,4.93,190.0,938.0
Cataluña,2016-06-01,5.34,181.0,965.0
Cataluña,2016-07-01,6.89,152.0,1048.0
Cataluña,2016-08-01,7.37,130.0,960.0
Cataluña,2016-09-01,6.11,178.0,1087.0
Cataluña,2016-10-01,5.37,175.0,939.0
Cataluña,2016-11-01,5.67,171.0,968.0
Cataluña,2016-12-01,6.75,146.0,983.0
Cataluña,2017-01-01,5.93,163.0,969.0
Cataluña,2017-02-01,6.0,156.0,937.0
Cataluña,2017-03-01,4.68,196.0,916.0
Cataluña,2017-04-01,4.85,176.0,855.0
Cataluña,2017-05-01,5.14,184.0,947.0
Cataluña,2017-06-01,5.52,189.0,1043.0
Cataluña,2017-07-01,6.91,159.0,1097.0
Cataluña,2017-08-01,7.57,137.0,1034.0
Cataluña,2017-09-01,5.93,183.0,1085.0
Cataluña,2017-10-01,5.56,186.0,1035.0
Cataluña,2017-11-01,5.14,184.0,946.0
Cataluña,2017-12-01,6.95,153.0,1066.0
Cataluña,2018-01-01,6.02,174.0,1046.0
Cataluña,2018-02-01,5.07,199.0,1008.0
Cataluña,2018-03-01,4.63,203.0,941.0
Cataluña,2018-04-01,5.1,189.0,963.0
Cataluña,2018-05-01,5.04,200.0,1010.0
Cataluña,2018-06-01,5.74,197.0,1134.0
Cataluña,2018-07-01,6.69,178.0,1195.0
Cataluña,2018-08-01,6.94,162.0,1120.0
Cataluña,2018-09-01,5.66,192.0,1089.0
Cataluña,2018-10-01,4.94,208.0,1027.0
Cataluña,2018-11-01,5.46,180.0,983.0
Cataluña,2018-12-01,6.8,161.0,1096.0
Cataluña,2019-01-01,5.87,177.0,1037.0
Cataluña,2019-02-01,5.06,195.0,984.0
Cataluña,2019-03-01,4.89,198.0,967.0
Cataluña,2019-04-01,4.98,198.0,984.0
Cataluña,2019-05-01,5.15,212.0,1090.0
Cataluña,2019-06-01,5.33,217.0,1155.0
Cataluña,2019-07-01,6.32,199.0,1257.0
Cataluña,2019-08-01,6.67,176.0,1174.0
Cataluña,2019-09-01,6.05,187.0,1132.0
Cataluña,2019-10-01,5.05,221.0,1114.0
Cataluña,2019-11-01,4.62,200.0,926.0
Cataluña,2019-12-01,5.63,193.0,1089.0
Cataluña,2020-01-01,5.52,189.0,1041.0
Cataluña,2020-02-01,5.59,184.0,1028.0
Cataluña,2020-03-01,5.22,191.0,999.0
Cataluña,2020-04-01,0.0,0.0,0.0
Cataluña,2020-05-01,0.0,0.0,0.0
Cataluña,2020-06-01,4.84,105.0,506.0
Cataluña,2020-07-01,6.96,141.0,980.0
Cataluña,2020-08-01,6.78,140.0,949.0
Cataluña,2020-09-01,6.2,110.0,679.0
Cataluña,2020-10-01,5.49,108.0,592.0
Cataluña,2020-11-01,6.31,119.0,751.0
Cataluña,2020-12-01,7.55,116.0,872.0
Cataluña,2021-01-01,8.47,106.0,900.0
Cataluña,2021-02-01,7.11,142.0,1006.0
Cataluña,2021-03-01,5.78,138.0,800.0
Cataluña,2021-04-01,5.2,183.0,950.0
Cataluña,2021-05-01,5.23,161.0,840.0
Cataluña,2021-06-01,5.57,172.0,959.0
Cataluña,2021-07-01,6.6,163.0,1074.0
Cataluña,2021-08-01,6.87,152.0,1046.0
Cataluña,2021-09-01,5.62,161.0,903.0
Cataluña,2021-10-01,5.51,159.0,876.0
Cataluña,2021-11-01,5.75,151.0,866.0
Cataluña,2021-12-01,7.38,132.0,978.0
Cataluña,2022-01-01,7.93,119.0,941.0
Cataluña,2022-02-01,6.34,149.0,947.0
Cataluña,2022-03-01,5.42,192.0,1040.0
Cataluña,2022-04-01,5.11,194.0,991.0
Cataluña,2022-05-01,4.98,202.0,1008.0
Cataluña,2022-06-01,5.52,206.0,1139.0
Cataluña,2022-07-01,6.43,202.0,1301.0
Cataluña,2022-08-01,6.95,183.0,1270.0
Cataluña,2022-09-01,5.63,200.0,1127.0
